,id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price,most_similar
669,669,Di Linh,203,5,7,0,0.86,"[4487, 254, 3133, 1239, 2005]"
670,670,Lâm Hà,103,11,5,0,12.98,"[4653, 697, 2738, 4607, 4165]"
671,671,Lạc Dương,227,13,14,0,11.66,"[2921, 2445, 4925, 2110, 3020]"
672,672,Đam Rông,178,9,15,0,6.53,"[1598, 691, 1460, 4042, 2663]"
673,673,Đạ Huoai,87,6,6,1,8.66,"[998, 3245, 3154, 3163, 5]"
674,674,Lạc Dương,243,5,7,0,2.55,"[406, 4233, 2309, 4474, 3726]"
675,675,Lâm Hà,194,12,15,0,13.16,"[4023, 4570, 1611, 878, 4838]"
676,676,Bảo Lộc,74,10,14,0,13.74,"[922, 4574, 4292, 294, 2028]"
677,677,Đam Rông,231,15,12,0,11.76,"[1544, 987, 4893, 1550, 1764]"
678,678,Bảo Lâm,131,12,10,1,13.24,"[623, 1847, 312, 717, 1899]"
679,679,Đạ Huoai,206,7,7,1,11.98,"[4963, 1390, 1930, 200, 2298]"
680,680,Đức Trọng,74,13,7,1,1.26,"[37, 4677, 4968, 297, 3458]"
681,681,Bảo Lâm,202,9,7,1,0.95,"[872, 1118, 1421, 3138, 4366]"
682,682,Đức Trọng,111,15,10,0,9.85,"[385, 1602, 408, 1983, 3364]"
683,683,Đơn Dương,228,13,12,0,13.55,"[3916, 2496, 3656, 2062, 2424]"
684,684,Lâm Hà,67,5,13,1,4.87,"[1731, 194, 3251, 808, 71]"
685,685,Đam Rông,147,12,5,1,14.79,"[3627, 4988, 1455, 3928, 2316]"
686,686,Đam Rông,59,15,13,0,7.03,"[2216, 2828, 2660, 3068, 4320]"
687,687,Lạc Dương,205,6,8,0,13.14,"[2986, 2968, 3038, 3141, 2594]"
688,688,Lâm Hà,129,14,15,0,2.93,"[2785, 651, 783, 1250, 3921]"
689,689,Đà Lạt,223,10,6,0,3.34,"[2267, 331, 1209, 3352, 1273]"
690,690,Cát Tiên,124,11,7,0,8.69,"[3455, 2372, 4673, 1056, 4068]"
691,691,Đam Rông,183,10,15,0,6.8,"[1598, 672, 3934, 4973, 1988]"
692,692,Lạc Dương,126,8,9,1,1.53,"[1163, 193, 1153, 2041, 1843]"
693,693,Lâm Hà,53,7,15,0,4.4,"[2281, 1901, 3938, 1879, 801]"
694,694,Đức Trọng,235,12,9,1,5.31,"[1996, 273, 417, 3014, 2903]"
695,695,Di Linh,206,10,6,0,13.61,"[4795, 1182, 3086, 1289, 1040]"
696,696,Đức Trọng,125,6,10,0,12.43,"[1805, 335, 1313, 3077, 315]"
697,697,Lâm Hà,105,12,7,0,11.33,"[2738, 4165, 670, 3962, 2935]"
698,698,Lạc Dương,231,6,15,1,11.28,"[1858, 3696, 1197, 1009, 2800]"
699,699,Cát Tiên,80,7,6,1,10.34,"[2587, 3341, 2400, 1687, 154]"
700,700,Lâm Hà,221,7,11,1,13.11,"[150, 2994, 97, 2415, 494]"
701,701,Lạc Dương,148,13,8,1,2.31,"[3131, 2598, 3127, 3047, 2875]"
702,702,Đạ Tẻh,59,14,9,0,13.88,"[1402, 1416, 263, 1510, 149]"
703,703,Bảo Lâm,174,10,12,0,3.5,"[1730, 4602, 3067, 317, 3496]"
704,704,Lạc Dương,219,5,10,0,9.1,"[1088, 3726, 1321, 2986, 2968]"
705,705,Bảo Lộc,106,11,5,1,5.32,"[2210, 1654, 515, 1795, 1749]"
706,706,Đà Lạt,82,15,12,1,1.09,"[3000, 4448, 3098, 1763, 1105]"
707,707,Lạc Dương,172,9,7,0,8.27,"[3399, 3791, 1634, 4771, 4783]"
708,708,Đức Trọng,181,7,6,0,11.54,"[4896, 3393, 3391, 3430, 1299]"
709,709,Đạ Tẻh,155,9,12,0,5.08,"[2531, 1779, 1969, 1954, 3225]"
710,710,Bảo Lâm,50,10,8,0,8.64,"[1204, 616, 4703, 2241, 4680]"
711,711,Đạ Tẻh,87,8,6,1,3.55,"[3295, 2180, 4732, 4580, 4302]"
712,712,Di Linh,60,8,7,1,9.66,"[1504, 2907, 2570, 4056, 2650]"
713,713,Đơn Dương,105,10,6,1,1.37,"[4449, 2094, 978, 3427, 1727]"
714,714,Đức Trọng,163,9,10,0,5.38,"[3838, 2426, 3882, 1271, 3874]"
715,715,Đức Trọng,56,7,15,0,8.52,"[1812, 513, 2848, 4377, 1121]"
716,716,Đạ Tẻh,216,14,9,1,3.38,"[4524, 1344, 2626, 4312, 3305]"
717,717,Bảo Lâm,88,13,9,1,11.65,"[312, 2757, 4444, 1899, 4737]"
718,718,Cát Tiên,124,5,13,0,2.2,"[177, 1330, 247, 3288, 4041]"
719,719,Bảo Lâm,211,7,13,1,5.46,"[2802, 425, 3392, 3936, 644]"
720,720,Đạ Tẻh,217,10,13,0,1.03,"[407, 3225, 2534, 2554, 1779]"
721,721,Cát Tiên,208,8,9,1,5.15,"[2311, 250, 2214, 4759, 2456]"
722,722,Di Linh,124,5,15,0,4.03,"[4043, 4300, 1021, 2551, 3540]"
723,723,Lâm Hà,248,10,6,0,8.18,"[3058, 1036, 342, 4283, 3601]"
724,724,Đức Trọng,97,8,15,1,8.18,"[875, 4654, 4430, 3158, 1377]"
725,725,Đạ Tẻh,161,7,12,0,11.63,"[4224, 1852, 336, 3463, 1690]"
726,726,Bảo Lộc,168,10,7,0,1.67,"[2842, 4045, 2358, 2250, 4534]"
727,727,Đà Lạt,213,7,6,1,3.54,"[3694, 4634, 481, 2481, 1257]"
728,728,Lâm Hà,125,5,8,0,13.96,"[2097, 956, 828, 901, 3571]"
729,729,Cát Tiên,240,11,12,0,2.87,"[1400, 1780, 955, 3515, 3991]"
730,730,Đạ Huoai,65,8,7,1,9.85,"[3112, 3154, 3163, 673, 4460]"
731,731,Lạc Dương,103,5,10,0,2.91,"[3334, 3303, 2563, 1227, 440]"
732,732,Bảo Lâm,70,12,12,1,11.65,"[4721, 3911, 1847, 4777, 2804]"
733,733,Đà Lạt,61,10,9,0,1.94,"[1452, 3472, 230, 4710, 667]"
734,734,Đạ Huoai,58,12,7,0,12.75,"[3343, 291, 1482, 3760, 1599]"
735,735,Cát Tiên,143,7,6,0,9.27,"[2834, 4889, 2301, 2219, 2392]"
736,736,Cát Tiên,216,9,14,1,2.22,"[209, 904, 1596, 1794, 2885]"
737,737,Cát Tiên,83,15,10,1,5.58,"[2406, 3618, 2319, 882, 1277]"
738,738,Đạ Huoai,172,7,5,0,11.17,"[1308, 280, 1071, 3259, 856]"
739,739,Bảo Lâm,215,10,9,0,7.57,"[2946, 2736, 4942, 653, 2390]"
740,740,Bảo Lộc,123,8,12,1,5.23,"[2239, 2300, 1362, 3806, 2000]"
741,741,Bảo Lâm,102,15,15,1,2.59,"[1434, 1851, 364, 3187, 3276]"
742,742,Lâm Hà,59,10,9,1,14.18,"[3286, 4140, 3332, 1873, 3467]"
743,743,Đam Rông,122,14,6,1,3.59,"[3469, 4485, 4172, 1450, 4826]"
744,744,Đơn Dương,77,14,11,0,11.77,"[2573, 575, 2561, 1146, 3707]"
745,745,Lâm Hà,150,15,10,0,11.79,"[1219, 4260, 4241, 3268, 1981]"
746,746,Đà Lạt,203,11,11,1,1.74,"[3402, 4371, 2234, 2162, 2473]"
747,747,Đạ Huoai,194,15,9,0,1.91,"[1324, 3121, 4805, 12, 913]"
748,748,Lạc Dương,182,6,7,1,7.85,"[4568, 3886, 3958, 3124, 384]"
749,749,Lâm Hà,71,9,14,1,4.48,"[808, 3008, 3251, 1711, 3608]"
750,750,Đức Trọng,250,8,15,0,9.53,"[188, 946, 402, 80, 3257]"
751,751,Đạ Tẻh,54,6,11,1,14.36,"[449, 1756, 2019, 786, 2361]"
752,752,Bảo Lộc,155,13,13,1,7.15,"[423, 4356, 356, 4284, 1614]"
753,753,Đơn Dương,201,5,8,0,8.58,"[4138, 2665, 2065, 2007, 502]"
754,754,Bảo Lộc,172,5,8,0,8.05,"[3462, 4289, 4687, 2677, 1546]"
755,755,Đơn Dương,245,13,7,0,9.48,"[4668, 3030, 4255, 3747, 558]"
756,756,Đơn Dương,224,13,14,1,5.52,"[2944, 394, 2546, 1399, 1420]"
757,757,Cát Tiên,186,12,12,1,4.03,"[3157, 3744, 4672, 1706, 4322]"
758,758,Đức Trọng,214,8,5,0,3.73,"[2877, 555, 4005, 169, 1018]"
759,759,Đạ Huoai,155,7,10,0,9.78,"[2451, 3136, 2455, 4894, 2388]"
760,760,Đơn Dương,80,7,7,0,4.0,"[3827, 4466, 1038, 2168, 1951]"
761,761,Bảo Lâm,77,10,6,0,13.64,"[995, 4703, 3054, 2790, 2241]"
762,762,Bảo Lâm,211,14,11,0,7.8,"[2390, 4217, 3029, 1516, 2297]"
763,763,Bảo Lâm,249,13,10,1,8.18,"[3340, 4810, 3254, 1211, 4227]"
764,764,Đam Rông,103,9,14,1,12.09,"[4132, 2646, 2453, 3576, 3753]"
765,765,Bảo Lộc,106,10,9,0,1.45,"[404, 3501, 2842, 2872, 1469]"
766,766,Di Linh,162,11,6,0,2.05,"[3022, 1496, 421, 3202, 2339]"
767,767,Bảo Lộc,140,13,9,1,1.19,"[93, 4090, 72, 3512, 4897]"
768,768,Di Linh,219,14,7,0,5.89,"[1426, 4230, 3202, 4649, 1333]"
769,769,Bảo Lâm,207,11,13,1,2.32,"[378, 2784, 3080, 3475, 4513]"
770,770,Đạ Huoai,171,11,12,1,3.78,"[1514, 1882, 551, 4346, 4782]"
771,771,Lâm Hà,85,9,9,1,7.71,"[1364, 3851, 29, 3332, 1028]"
772,772,Lâm Hà,98,10,15,1,10.32,"[4464, 1711, 1921, 598, 848]"
773,773,Đức Trọng,185,9,5,1,3.42,"[2925, 4856, 833, 3890, 1369]"
774,774,Bảo Lâm,185,13,6,1,4.7,"[3056, 3045, 4019, 1149, 3454]"
775,775,Đam Rông,113,10,8,1,11.65,"[1284, 1022, 274, 497, 1067]"
776,776,Lâm Hà,63,10,9,0,2.26,"[228, 296, 1830, 1582, 4079]"
777,777,Bảo Lộc,87,12,11,1,10.07,"[1642, 965, 1933, 3267, 535]"
778,778,Cát Tiên,130,5,12,0,9.98,"[396, 1577, 4100, 3288, 3146]"
779,779,Lạc Dương,129,10,14,0,11.2,"[4934, 1309, 1005, 102, 464]"
780,780,Bảo Lộc,166,13,7,0,3.83,"[4534, 1171, 2295, 1607, 954]"
781,781,Di Linh,138,8,12,1,6.86,"[414, 2475, 3412, 123, 3871]"
782,782,Đà Lạt,65,7,11,0,6.85,"[2113, 1645, 944, 147, 4335]"
783,783,Lâm Hà,70,15,14,0,3.37,"[3921, 1250, 3939, 688, 2785]"
784,784,Lâm Hà,207,14,14,1,10.45,"[3750, 4441, 3655, 1372, 4761]"
785,785,Đức Trọng,75,5,5,1,14.72,"[4186, 1031, 4519, 1604, 1049]"
786,786,Đạ Tẻh,85,8,9,1,12.91,"[2019, 2361, 1231, 4655, 3359]"
787,787,Cát Tiên,60,6,7,0,4.16,"[3537, 1684, 2564, 2951, 2301]"
788,788,Đạ Tẻh,83,8,10,1,7.07,"[244, 919, 1762, 1664, 4732]"
789,789,Cát Tiên,117,15,6,0,12.97,"[3589, 162, 4931, 3139, 467]"
790,790,Đam Rông,101,11,5,1,5.92,"[116, 3833, 485, 900, 3812]"
791,791,Di Linh,164,14,14,1,1.09,"[4974, 1839, 2899, 3461, 456]"
792,792,Di Linh,160,8,15,0,1.79,"[4338, 173, 249, 2013, 4300]"
793,793,Bảo Lộc,50,14,7,0,6.15,"[883, 2864, 4003, 1179, 2536]"
794,794,Đức Trọng,165,5,13,0,7.45,"[386, 4991, 1444, 4107, 1463]"
795,795,Bảo Lâm,153,5,7,1,11.52,"[4021, 3224, 3336, 4434, 3048]"
796,796,Đức Trọng,98,5,7,1,2.35,"[2150, 4117, 4814, 2333, 2307]"
797,797,Đà Lạt,179,5,5,0,4.9,"[2420, 4779, 3010, 1867, 3518]"
798,798,Cát Tiên,241,7,10,0,9.96,"[371, 218, 1895, 2681, 1551]"
799,799,Đạ Tẻh,208,14,8,0,5.95,"[4104, 2324, 2602, 2412, 4678]"
800,800,Bảo Lâm,117,9,12,0,9.41,"[4147, 2244, 1276, 314, 4182]"
801,801,Lâm Hà,78,10,15,0,5.88,"[2281, 3938, 1901, 433, 693]"
802,802,Lạc Dương,96,10,14,1,3.13,"[3607, 2769, 3691, 212, 3372]"
803,803,Đạ Huoai,66,9,15,1,12.07,"[4811, 824, 2611, 4389, 3106]"
804,804,Bảo Lộc,141,15,9,1,12.66,"[4401, 1889, 4589, 2613, 1998]"
805,805,Đức Trọng,138,10,15,1,11.95,"[1178, 4430, 4745, 4654, 3734]"
806,806,Di Linh,170,13,14,1,13.39,"[2052, 4029, 4746, 3590, 299]"
807,807,Đơn Dương,109,10,12,0,2.44,"[4688, 1797, 2448, 3560, 2657]"
808,808,Lâm Hà,112,8,14,1,5.15,"[4562, 1711, 749, 3542, 598]"
809,809,Đà Lạt,136,13,13,0,3.04,"[4611, 4747, 4588, 1079, 4629]"
810,810,Đạ Tẻh,87,6,5,1,13.23,"[1677, 285, 477, 2019, 3109]"
811,811,Lạc Dương,111,5,14,0,12.13,"[2569, 2814, 4340, 4467, 1234]"
812,812,Đức Trọng,99,6,13,1,13.51,"[4851, 1065, 4062, 1583, 3356]"
813,813,Đức Trọng,153,10,6,1,10.76,"[252, 77, 355, 2111, 3244]"
814,814,Cát Tiên,197,10,8,0,4.1,"[4906, 3757, 55, 1139, 955]"
815,815,Bảo Lộc,109,12,9,0,11.66,"[4075, 3337, 883, 2294, 1027]"
816,816,Đà Lạt,248,14,14,0,10.93,"[3572, 2726, 2099, 2066, 960]"
817,817,Bảo Lâm,141,5,13,1,5.55,"[3936, 2802, 4702, 2264, 2648]"
818,818,Lâm Hà,67,8,6,1,7.77,"[1028, 2991, 1315, 29, 3851]"
819,819,Đơn Dương,233,8,15,0,2.9,"[1263, 2471, 917, 3085, 2296]"
820,820,Đức Trọng,196,15,5,1,10.96,"[993, 3941, 514, 630, 3690]"
821,821,Đức Trọng,151,7,11,1,14.74,"[4728, 1435, 1583, 812, 3815]"
822,822,Lạc Dương,102,12,11,1,9.11,"[3229, 4818, 1264, 929, 895]"
823,823,Cát Tiên,79,9,5,1,1.34,"[2491, 2876, 898, 4127, 38]"
824,824,Đạ Huoai,77,7,13,1,12.85,"[803, 3106, 2611, 4811, 3535]"
825,825,Đơn Dương,131,15,8,1,4.91,"[4020, 2134, 4554, 2351, 4530]"
826,826,Đơn Dương,67,5,9,1,13.31,"[4637, 1636, 640, 129, 4489]"
827,827,Lâm Hà,247,7,15,1,8.43,"[1739, 537, 2416, 1856, 3611]"
828,828,Lâm Hà,175,6,9,0,13.51,"[413, 2555, 1902, 3571, 4660]"
829,829,Lâm Hà,53,5,8,0,14.53,"[2097, 4689, 901, 728, 2248]"
830,830,Di Linh,76,15,11,0,4.75,"[1016, 4626, 989, 1927, 1505]"
831,831,Bảo Lộc,101,10,14,1,10.66,"[1500, 242, 1470, 1362, 4778]"
832,832,Đơn Dương,192,10,8,0,3.62,"[880, 215, 1615, 1052, 2331]"
833,833,Đức Trọng,202,6,5,1,2.49,"[2925, 2229, 4059, 2980, 773]"
834,834,Di Linh,155,8,9,0,4.3,"[3435, 2952, 3416, 4714, 1239]"
835,835,Đạ Tẻh,203,5,14,1,14.25,"[146, 4240, 3365, 205, 1386]"
836,836,Bảo Lộc,187,12,15,0,3.23,"[1135, 4639, 11, 3488, 1254]"
837,837,Đà Lạt,115,5,11,1,4.3,"[4512, 2539, 2860, 2486, 4659]"
838,838,Đam Rông,92,14,6,0,3.81,"[469, 3817, 4723, 2517, 1057]"
839,839,Lâm Hà,166,12,15,0,8.87,"[3705, 4984, 4429, 4023, 1896]"
840,840,Di Linh,77,7,12,0,12.83,"[376, 1251, 2059, 3570, 4373]"
841,841,Đà Lạt,219,13,14,1,5.81,"[1073, 2521, 646, 2778, 2088]"
842,842,Di Linh,97,10,10,0,7.76,"[2480, 992, 1733, 3435, 2952]"
843,843,Đạ Tẻh,248,9,14,0,8.81,"[2120, 4262, 4932, 511, 2376]"
844,844,Đơn Dương,90,13,10,0,6.37,"[1592, 241, 2798, 2577, 3284]"
845,845,Lạc Dương,63,12,6,1,8.27,"[2774, 411, 4036, 516, 4593]"
846,846,Bảo Lộc,64,12,10,1,6.41,"[2997, 1729, 1933, 777, 4116]"
847,847,Đạ Huoai,107,13,8,0,5.86,"[1224, 1408, 2393, 1272, 4130]"
848,848,Lâm Hà,78,7,15,1,10.07,"[1475, 71, 194, 1711, 772]"
849,849,Đơn Dương,195,14,9,1,13.75,"[370, 2579, 2909, 1593, 3951]"
850,850,Đam Rông,75,12,10,0,7.03,"[401, 4727, 3561, 259, 861]"
851,851,Đam Rông,118,6,7,0,11.56,"[2489, 131, 4380, 2470, 2789]"
852,852,Bảo Lâm,161,12,9,0,4.53,"[2891, 4602, 4874, 317, 1632]"
853,853,Đà Lạt,128,13,15,1,6.52,"[3262, 4613, 3942, 2348, 1232]"
854,854,Đơn Dương,131,7,6,0,1.02,"[1465, 2123, 1951, 2497, 4466]"
855,855,Di Linh,249,14,8,0,13.18,"[1055, 1944, 1333, 1182, 58]"
856,856,Đạ Huoai,165,7,6,0,7.11,"[3320, 4141, 3701, 2477, 738]"
857,857,Đam Rông,191,12,5,0,13.69,"[1900, 272, 1658, 4594, 2605]"
858,858,Đức Trọng,195,15,15,0,14.56,"[2407, 3997, 4070, 1099, 4848]"
859,859,Đạ Huoai,62,8,10,1,2.41,"[350, 2140, 1246, 3384, 2542]"
860,860,Đạ Tẻh,212,12,11,0,7.33,"[1969, 4917, 3168, 1779, 3225]"
861,861,Đam Rông,112,12,12,0,5.71,"[401, 1628, 289, 4727, 461]"
862,862,Lâm Hà,135,5,14,1,10.01,"[3197, 848, 1307, 1443, 3545]"
863,863,Bảo Lộc,93,5,11,0,4.48,"[4535, 2147, 4022, 2851, 4584]"
864,864,Cát Tiên,92,10,13,1,2.34,"[3809, 1098, 4786, 2071, 3411]"
865,865,Đạ Tẻh,231,13,14,1,13.97,"[4063, 3366, 2381, 4193, 2670]"
866,866,Lạc Dương,66,8,8,1,10.54,"[1002, 522, 3062, 1083, 2504]"
867,867,Bảo Lộc,234,6,12,1,1.73,"[1422, 4686, 2645, 4939, 4440]"
868,868,Lâm Hà,166,9,12,1,12.34,"[2994, 3545, 3740, 3634, 1622]"
869,869,Đà Lạt,217,7,8,0,11.91,"[1525, 2567, 2847, 2589, 236]"
870,870,Lạc Dương,112,5,9,1,2.68,"[3551, 3778, 1462, 2717, 2041]"
871,871,Bảo Lộc,165,5,13,0,6.76,"[117, 3243, 1919, 4667, 3350]"
872,872,Bảo Lâm,210,8,6,1,2.25,"[1118, 4366, 681, 3138, 1971]"
873,873,Đơn Dương,71,14,8,1,2.78,"[4554, 4560, 4449, 2979, 1119]"
874,874,Đạ Huoai,215,9,15,1,6.11,"[2698, 1017, 1199, 324, 4364]"
875,875,Đức Trọng,101,7,13,1,9.64,"[4218, 724, 4430, 4996, 1583]"
876,876,Đạ Tẻh,231,14,12,1,8.0,"[412, 1100, 4483, 70, 1344]"
877,877,Lạc Dương,166,10,14,1,2.22,"[4472, 1222, 3860, 1523, 1498]"
878,878,Lâm Hà,233,11,14,0,10.82,"[4023, 4570, 675, 3705, 4838]"
879,879,Đạ Huoai,54,7,9,0,1.05,"[2959, 3638, 1945, 1338, 3649]"
880,880,Đơn Dương,176,9,10,0,3.82,"[1797, 215, 832, 1793, 3129]"
881,881,Di Linh,190,7,7,1,9.18,"[1376, 589, 127, 1813, 3554]"
882,882,Cát Tiên,59,12,11,1,5.26,"[4598, 1461, 1277, 2937, 1418]"
883,883,Bảo Lộc,77,12,8,0,8.39,"[815, 1027, 793, 211, 4003]"
884,884,Lạc Dương,148,14,11,0,12.13,"[4237, 1587, 3828, 1738, 1545]"
885,885,Đơn Dương,69,11,13,1,6.67,"[3915, 2145, 1871, 3885, 3568]"
886,886,Cát Tiên,84,8,12,0,5.26,"[323, 4864, 2564, 4776, 2951]"
887,887,Lạc Dương,167,9,9,1,7.17,"[4163, 1095, 3893, 1153, 1970]"
888,888,Di Linh,244,10,5,0,7.89,"[1594, 3086, 3448, 4230, 2640]"
889,889,Lạc Dương,148,6,10,1,5.37,"[2041, 3794, 2717, 4044, 614]"
890,890,Đạ Huoai,122,12,7,1,10.3,"[325, 3255, 4733, 3976, 483]"
891,891,Bảo Lâm,148,7,6,0,8.49,"[3719, 4946, 1150, 2861, 4088]"
892,892,Lạc Dương,77,6,5,0,1.29,"[345, 4508, 4724, 1129, 4548]"
893,893,Đà Lạt,55,10,13,1,3.28,"[1751, 143, 4532, 1763, 1359]"
894,894,Bảo Lộc,244,5,5,1,8.11,"[3952, 119, 2974, 3978, 307]"
895,895,Lạc Dương,80,14,11,1,6.57,"[4126, 4113, 30, 929, 822]"
896,896,Đà Lạt,63,7,6,0,4.46,"[230, 4710, 3296, 1952, 1452]"
897,897,Đạ Tẻh,156,13,8,0,10.52,"[470, 329, 2505, 3549, 2447]"
898,898,Cát Tiên,70,12,6,1,1.19,"[38, 2485, 4127, 2932, 823]"
899,899,Lạc Dương,159,13,12,0,0.83,"[656, 4754, 1840, 4369, 2038]"
900,900,Đam Rông,51,10,6,1,7.24,"[3761, 2465, 2279, 3812, 790]"
901,901,Lâm Hà,90,6,7,0,11.28,"[4689, 101, 2097, 3848, 938]"
902,902,Đạ Tẻh,105,12,15,0,2.93,"[1991, 4309, 2161, 2629, 179]"
903,903,Lâm Hà,78,14,15,1,12.12,"[451, 66, 2938, 2437, 44]"
904,904,Cát Tiên,216,9,12,1,2.52,"[2885, 4759, 736, 209, 4912]"
905,905,Đạ Tẻh,102,11,14,1,5.08,"[4334, 1360, 1993, 47, 1958]"
906,906,Lạc Dương,190,7,5,1,2.71,"[2729, 2895, 4833, 1741, 3958]"
907,907,Đơn Dương,65,13,6,0,13.05,"[3256, 611, 4205, 1066, 155]"
908,908,Lâm Hà,210,7,9,1,11.22,"[97, 2415, 4636, 700, 1622]"
909,909,Đạ Tẻh,94,12,10,1,10.54,"[3525, 1189, 2758, 1106, 2625]"
910,910,Bảo Lộc,86,9,11,0,7.56,"[211, 4535, 2872, 3501, 1532]"
911,911,Đam Rông,212,8,11,0,6.26,"[601, 2857, 1679, 1226, 1603]"
912,912,Bảo Lâm,143,10,7,1,2.18,"[4868, 3406, 1621, 32, 3056]"
913,913,Đạ Huoai,210,12,9,0,2.42,"[4805, 1174, 507, 2562, 4632]"
914,914,Cát Tiên,178,12,13,0,14.02,"[1230, 4178, 2354, 2179, 4096]"
915,915,Lâm Hà,85,12,12,1,10.4,"[4464, 4316, 2089, 1921, 4749]"
916,916,Đà Lạt,238,14,7,1,3.18,"[2683, 3677, 4435, 2085, 4914]"
917,917,Đơn Dương,232,10,14,0,6.65,"[2296, 2471, 3085, 654, 3884]"
918,918,Đơn Dương,178,12,5,1,9.89,"[496, 3721, 4327, 3951, 4794]"
919,919,Đạ Tẻh,74,6,10,1,7.48,"[1537, 2922, 788, 2035, 1664]"
920,920,Cát Tiên,53,10,7,1,7.11,"[957, 4127, 4239, 432, 1529]"
921,921,Lâm Hà,225,5,12,1,4.76,"[4880, 2438, 1307, 1206, 3103]"
922,922,Bảo Lộc,91,10,12,0,14.72,"[4292, 676, 4574, 1880, 2028]"
923,923,Di Linh,111,7,7,0,4.87,"[2576, 4799, 1239, 4158, 1835]"
924,924,Di Linh,114,10,9,1,5.07,"[1033, 3971, 3432, 1670, 414]"
925,925,Bảo Lâm,65,6,15,0,2.84,"[1437, 941, 100, 4412, 2733]"
926,926,Đam Rông,244,6,6,1,1.12,"[4690, 1011, 1815, 4784, 1650]"
927,927,Đạ Huoai,65,12,7,1,4.64,"[1014, 2345, 2675, 2107, 4752]"
928,928,Di Linh,152,9,15,1,13.46,"[1718, 3590, 4451, 1750, 3300]"
929,929,Lạc Dương,76,13,9,1,9.08,"[4593, 516, 4773, 822, 895]"
930,930,Cát Tiên,50,8,15,0,14.37,"[2557, 3524, 486, 4139, 2854]"
931,931,Bảo Lâm,140,15,10,1,7.89,"[3796, 4737, 617, 4527, 3270]"
932,932,Cát Tiên,196,5,11,1,9.84,"[2813, 106, 1311, 4633, 4176]"
933,933,Đam Rông,217,6,6,0,3.09,"[2687, 4520, 1809, 351, 2744]"
934,934,Lâm Hà,153,11,5,1,4.68,"[4210, 3310, 3868, 253, 3738]"
935,935,Lạc Dương,135,15,12,1,6.0,"[471, 4126, 1558, 2312, 895]"
936,936,Đơn Dương,79,14,13,0,7.8,"[2170, 953, 1742, 1592, 575]"
937,937,Lâm Hà,191,13,5,1,10.58,"[3562, 4962, 3738, 1915, 574]"
938,938,Lâm Hà,91,5,9,0,9.92,"[101, 2097, 901, 956, 4689]"
939,939,Bảo Lâm,176,10,6,0,4.24,"[1781, 3369, 4662, 2243, 2032]"
940,940,Bảo Lộc,229,12,9,1,9.04,"[1717, 586, 40, 603, 4048]"
941,941,Bảo Lâm,119,9,14,0,1.32,"[484, 3374, 3954, 4236, 1437]"
942,942,Lạc Dương,200,9,13,0,11.16,"[1309, 539, 2385, 1910, 4934]"
943,943,Bảo Lâm,101,10,5,1,6.15,"[1692, 3181, 1417, 1784, 4650]"
944,944,Đà Lạt,56,8,12,0,7.98,"[1645, 2113, 782, 147, 4053]"
945,945,Đà Lạt,117,14,5,0,4.57,"[1303, 1804, 4261, 3763, 293]"
946,946,Đức Trọng,247,6,15,0,7.5,"[2350, 750, 1463, 188, 402]"
947,947,Di Linh,149,15,6,0,7.85,"[3583, 4623, 4123, 3314, 4649]"
948,948,Bảo Lâm,183,6,7,1,5.86,"[4366, 1252, 3007, 1521, 3138]"
949,949,Đơn Dương,232,9,6,0,7.96,"[3531, 1454, 2188, 558, 2331]"
950,950,Đam Rông,197,12,12,0,9.34,"[2865, 2941, 4617, 3727, 1764]"
951,951,Đạ Tẻh,123,9,11,0,8.16,"[109, 41, 991, 4201, 2447]"
952,952,Di Linh,244,12,12,1,1.19,"[1518, 4640, 1697, 1213, 456]"
953,953,Đơn Dương,92,12,13,0,8.05,"[2688, 936, 1132, 1592, 575]"
954,954,Bảo Lộc,163,11,9,0,4.38,"[4045, 4534, 1469, 2842, 2378]"
955,955,Cát Tiên,215,11,10,0,4.45,"[1400, 3515, 1575, 3757, 55]"
956,956,Lâm Hà,137,5,9,0,11.12,"[4822, 728, 938, 363, 828]"
957,957,Cát Tiên,70,11,5,1,6.5,"[432, 920, 2932, 4127, 1366]"
958,958,Bảo Lộc,205,14,6,1,12.97,"[4578, 4332, 479, 1889, 3095]"
959,959,Bảo Lộc,127,11,6,1,12.78,"[3674, 4347, 2330, 3959, 48]"
960,960,Đà Lạt,183,14,11,0,11.75,"[4388, 2726, 1801, 2262, 4866]"
961,961,Cát Tiên,116,10,9,1,2.62,"[1461, 4370, 4391, 4239, 2485]"
962,962,Đam Rông,224,9,5,1,4.95,"[4784, 4542, 1974, 1011, 3742]"
963,963,Cát Tiên,244,11,5,1,5.64,"[3473, 2743, 2731, 1515, 1608]"
964,964,Di Linh,53,5,12,0,2.51,"[4323, 3996, 4455, 3540, 2178]"
965,965,Bảo Lộc,74,13,13,1,11.82,"[3816, 242, 777, 1673, 3170]"
966,966,Bảo Lộc,152,14,10,0,5.84,"[971, 4621, 2818, 2295, 4378]"
967,967,Lâm Hà,89,13,6,1,5.28,"[69, 1601, 125, 529, 3868]"
968,968,Đà Lạt,205,7,11,1,13.86,"[4872, 1938, 2606, 4266, 1826]"
969,969,Đơn Dương,220,9,10,0,14.48,"[2408, 1051, 4468, 3130, 2424]"
970,970,Lạc Dương,177,9,6,1,6.66,"[3670, 4495, 1970, 3958, 1753]"
