id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price
00600,Di Linh,130,8,5,1,14.45
00601,Đam Rông,220,9,11,0,5.75
00602,Đạ Tẻh,77,12,8,1,5.82
00603,Bảo Lộc,223,10,10,1,7.31
00604,Đam Rông,246,12,15,0,10.84
00605,Lâm Hà,177,14,8,0,2.63
00606,Cát Tiên,177,7,8,0,3.94
00607,Cát Tiên,230,13,9,1,4.25
00608,Đạ Huoai,212,11,9,1,11.82
00609,Đức Trọng,132,7,5,1,6.3
00610,Bảo Lộc,109,7,13,0,13.34
00611,Đơn Dương,107,15,7,0,11.87
00612,Di Linh,162,10,9,0,12.21
00613,Đạ Tẻh,80,8,14,1,7.6
00614,Lạc Dương,132,6,12,1,5.86
00615,Bảo Lộc,163,8,9,0,6.84
00616,Bảo Lâm,58,8,9,0,9.55
00617,Bảo Lâm,131,15,8,1,8.61
00618,Đạ Tẻh,202,8,5,0,0.86
00619,Đơn Dương,162,7,11,0,14.76
00620,Bảo Lộc,111,9,5,1,1.24
00621,Đơn Dương,157,13,14,0,14.3
00622,Đơn Dương,215,6,7,0,14.13
00623,Bảo Lâm,153,12,10,1,11.66
00624,Đạ Huoai,248,8,7,1,2.81
00625,Lạc Dương,237,13,5,1,5.96
00626,Bảo Lâm,187,7,13,0,5.24
00627,Đạ Huoai,204,10,7,1,5.95
00628,Đam Rông,206,7,10,1,4.41
00629,Bảo Lâm,242,11,14,1,11.51
00630,Đức Trọng,199,15,8,1,8.61
00631,Đức Trọng,53,9,9,1,4.22
00632,Lâm Hà,239,8,11,1,9.87
00633,Đơn Dương,87,10,9,0,9.7
00634,Đơn Dương,217,9,15,0,14.21
00635,Bảo Lộc,171,9,12,1,2.75
00636,Đức Trọng,218,5,12,1,14.72
00637,Đạ Tẻh,175,5,7,0,13.41
00638,Bảo Lộc,144,14,5,0,10.17
00639,Đức Trọng,198,15,13,1,7.99
00640,Đơn Dương,160,5,9,1,9.96
00641,Đạ Huoai,93,15,5,0,1.07
00642,Đức Trọng,166,15,12,1,10.2
00643,Đạ Tẻh,124,11,11,1,2.17
00644,Bảo Lâm,241,5,14,1,4.5
00645,Bảo Lâm,140,7,5,1,5.07
00646,Đà Lạt,197,11,14,1,6.41
00647,Đà Lạt,232,15,9,0,13.42
00648,Đạ Huoai,129,12,6,1,2.65
00649,Đức Trọng,230,9,14,1,8.37
00650,Lạc Dương,90,14,6,0,8.88
00651,Lâm Hà,134,15,13,0,1.28
00652,Đức Trọng,224,8,5,1,9.29
00653,Bảo Lâm,222,9,12,0,6.44
00654,Đơn Dương,245,8,13,0,8.8
00655,Di Linh,145,13,9,0,11.1
00656,Lạc Dương,172,12,13,0,1.47
00657,Cát Tiên,171,11,6,1,13.32
00658,Cát Tiên,92,10,8,1,12.42
00659,Đơn Dương,77,5,6,0,6.15
00660,Đức Trọng,171,8,10,1,3.08
00661,Đạ Tẻh,153,5,9,0,11.2
00662,Cát Tiên,214,11,13,1,8.27
00663,Bảo Lộc,217,14,7,0,5.08
00664,Đức Trọng,206,8,9,0,8.61
00665,Cát Tiên,174,13,5,1,2.65
00666,Đạ Tẻh,248,5,7,1,8.67
00667,Đà Lạt,62,13,9,0,1.38
00668,Đức Trọng,137,9,7,1,7.13
00669,Di Linh,203,5,7,0,0.86
00670,Lâm Hà,103,11,5,0,12.98
00671,Lạc Dương,227,13,14,0,11.66
00672,Đam Rông,178,9,15,0,6.53
00673,Đạ Huoai,87,6,6,1,8.66
00674,Lạc Dương,243,5,7,0,2.55
00675,Lâm Hà,194,12,15,0,13.16
00676,Bảo Lộc,74,10,14,0,13.74
00677,Đam Rông,231,15,12,0,11.76
00678,Bảo Lâm,131,12,10,1,13.24
00679,Đạ Huoai,206,7,7,1,11.98
00680,Đức Trọng,74,13,7,1,1.26
00681,Bảo Lâm,202,9,7,1,0.95
00682,Đức Trọng,111,15,10,0,9.85
00683,Đơn Dương,228,13,12,0,13.55
00684,Lâm Hà,67,5,13,1,4.87
00685,Đam Rông,147,12,5,1,14.79
00686,Đam Rông,59,15,13,0,7.03
00687,Lạc Dương,205,6,8,0,13.14
00688,Lâm Hà,129,14,15,0,2.93
00689,Đà Lạt,223,10,6,0,3.34
00690,Cát Tiên,124,11,7,0,8.69
00691,Đam Rông,183,10,15,0,6.8
00692,Lạc Dương,126,8,9,1,1.53
00693,Lâm Hà,53,7,15,0,4.4
00694,Đức Trọng,235,12,9,1,5.31
00695,Di Linh,206,10,6,0,13.61
00696,Đức Trọng,125,6,10,0,12.43
00697,Lâm Hà,105,12,7,0,11.33
00698,Lạc Dương,231,6,15,1,11.28
00699,Cát Tiên,80,7,6,1,10.34
00700,Lâm Hà,221,7,11,1,13.11
00701,Lạc Dương,148,13,8,1,2.31
00702,Đạ Tẻh,59,14,9,0,13.88
00703,Bảo Lâm,174,10,12,0,3.5
00704,Lạc Dương,219,5,10,0,9.1
00705,Bảo Lộc,106,11,5,1,5.32
00706,Đà Lạt,82,15,12,1,1.09
00707,Lạc Dương,172,9,7,0,8.27
00708,Đức Trọng,181,7,6,0,11.54
00709,Đạ Tẻh,155,9,12,0,5.08
00710,Bảo Lâm,50,10,8,0,8.64
00711,Đạ Tẻh,87,8,6,1,3.55
00712,Di Linh,60,8,7,1,9.66
00713,Đơn Dương,105,10,6,1,1.37
00714,Đức Trọng,163,9,10,0,5.38
00715,Đức Trọng,56,7,15,0,8.52
00716,Đạ Tẻh,216,14,9,1,3.38
00717,Bảo Lâm,88,13,9,1,11.65
00718,Cát Tiên,124,5,13,0,2.2
00719,Bảo Lâm,211,7,13,1,5.46
00720,Đạ Tẻh,217,10,13,0,1.03
00721,Cát Tiên,208,8,9,1,5.15
00722,Di Linh,124,5,15,0,4.03
00723,Lâm Hà,248,10,6,0,8.18
00724,Đức Trọng,97,8,15,1,8.18
00725,Đạ Tẻh,161,7,12,0,11.63
00726,Bảo Lộc,168,10,7,0,1.67
00727,Đà Lạt,213,7,6,1,3.54
00728,Lâm Hà,125,5,8,0,13.96
00729,Cát Tiên,240,11,12,0,2.87
00730,Đạ Huoai,65,8,7,1,9.85
00731,Lạc Dương,103,5,10,0,2.91
00732,Bảo Lâm,70,12,12,1,11.65
00733,Đà Lạt,61,10,9,0,1.94
00734,Đạ Huoai,58,12,7,0,12.75
00735,Cát Tiên,143,7,6,0,9.27
00736,Cát Tiên,216,9,14,1,2.22
00737,Cát Tiên,83,15,10,1,5.58
00738,Đạ Huoai,172,7,5,0,11.17
00739,Bảo Lâm,215,10,9,0,7.57
00740,Bảo Lộc,123,8,12,1,5.23
00741,Bảo Lâm,102,15,15,1,2.59
00742,Lâm Hà,59,10,9,1,14.18
00743,Đam Rông,122,14,6,1,3.59
00744,Đơn Dương,77,14,11,0,11.77
00745,Lâm Hà,150,15,10,0,11.79
00746,Đà Lạt,203,11,11,1,1.74
00747,Đạ Huoai,194,15,9,0,1.91
00748,Lạc Dương,182,6,7,1,7.85
00749,Lâm Hà,71,9,14,1,4.48
00750,Đức Trọng,250,8,15,0,9.53
00751,Đạ Tẻh,54,6,11,1,14.36
00752,Bảo Lộc,155,13,13,1,7.15
00753,Đơn Dương,201,5,8,0,8.58
00754,Bảo Lộc,172,5,8,0,8.05
00755,Đơn Dương,245,13,7,0,9.48
00756,Đơn Dương,224,13,14,1,5.52
00757,Cát Tiên,186,12,12,1,4.03
00758,Đức Trọng,214,8,5,0,3.73
00759,Đạ Huoai,155,7,10,0,9.78
00760,Đơn Dương,80,7,7,0,4.0
00761,Bảo Lâm,77,10,6,0,13.64
00762,Bảo Lâm,211,14,11,0,7.8
00763,Bảo Lâm,249,13,10,1,8.18
00764,Đam Rông,103,9,14,1,12.09
00765,Bảo Lộc,106,10,9,0,1.45
00766,Di Linh,162,11,6,0,2.05
00767,Bảo Lộc,140,13,9,1,1.19
00768,Di Linh,219,14,7,0,5.89
00769,Bảo Lâm,207,11,13,1,2.32
00770,Đạ Huoai,171,11,12,1,3.78
00771,Lâm Hà,85,9,9,1,7.71
00772,Lâm Hà,98,10,15,1,10.32
00773,Đức Trọng,185,9,5,1,3.42
00774,Bảo Lâm,185,13,6,1,4.7
00775,Đam Rông,113,10,8,1,11.65
00776,Lâm Hà,63,10,9,0,2.26
00777,Bảo Lộc,87,12,11,1,10.07
00778,Cát Tiên,130,5,12,0,9.98
00779,Lạc Dương,129,10,14,0,11.2
00780,Bảo Lộc,166,13,7,0,3.83
00781,Di Linh,138,8,12,1,6.86
00782,Đà Lạt,65,7,11,0,6.85
00783,Lâm Hà,70,15,14,0,3.37
00784,Lâm Hà,207,14,14,1,10.45
00785,Đức Trọng,75,5,5,1,14.72
00786,Đạ Tẻh,85,8,9,1,12.91
00787,Cát Tiên,60,6,7,0,4.16
00788,Đạ Tẻh,83,8,10,1,7.07
00789,Cát Tiên,117,15,6,0,12.97
00790,Đam Rông,101,11,5,1,5.92
00791,Di Linh,164,14,14,1,1.09
00792,Di Linh,160,8,15,0,1.79
00793,Bảo Lộc,50,14,7,0,6.15
00794,Đức Trọng,165,5,13,0,7.45
00795,Bảo Lâm,153,5,7,1,11.52
00796,Đức Trọng,98,5,7,1,2.35
00797,Đà Lạt,179,5,5,0,4.9
00798,Cát Tiên,241,7,10,0,9.96
00799,Đạ Tẻh,208,14,8,0,5.95
00800,Bảo Lâm,117,9,12,0,9.41
00801,Lâm Hà,78,10,15,0,5.88
00802,Lạc Dương,96,10,14,1,3.13
00803,Đạ Huoai,66,9,15,1,12.07
00804,Bảo Lộc,141,15,9,1,12.66
00805,Đức Trọng,138,10,15,1,11.95
00806,Di Linh,170,13,14,1,13.39
00807,Đơn Dương,109,10,12,0,2.44
00808,Lâm Hà,112,8,14,1,5.15
00809,Đà Lạt,136,13,13,0,3.04
00810,Đạ Tẻh,87,6,5,1,13.23
00811,Lạc Dương,111,5,14,0,12.13
00812,Đức Trọng,99,6,13,1,13.51
00813,Đức Trọng,153,10,6,1,10.76
00814,Cát Tiên,197,10,8,0,4.1
00815,Bảo Lộc,109,12,9,0,11.66
00816,Đà Lạt,248,14,14,0,10.93
00817,Bảo Lâm,141,5,13,1,5.55
00818,Lâm Hà,67,8,6,1,7.77
00819,Đơn Dương,233,8,15,0,2.9
00820,Đức Trọng,196,15,5,1,10.96
00821,Đức Trọng,151,7,11,1,14.74
00822,Lạc Dương,102,12,11,1,9.11
00823,Cát Tiên,79,9,5,1,1.34
00824,Đạ Huoai,77,7,13,1,12.85
00825,Đơn Dương,131,15,8,1,4.91
00826,Đơn Dương,67,5,9,1,13.31
00827,Lâm Hà,247,7,15,1,8.43
00828,Lâm Hà,175,6,9,0,13.51
00829,Lâm Hà,53,5,8,0,14.53
00830,Di Linh,76,15,11,0,4.75
00831,Bảo Lộc,101,10,14,1,10.66
00832,Đơn Dương,192,10,8,0,3.62
00833,Đức Trọng,202,6,5,1,2.49
00834,Di Linh,155,8,9,0,4.3
00835,Đạ Tẻh,203,5,14,1,14.25
00836,Bảo Lộc,187,12,15,0,3.23
00837,Đà Lạt,115,5,11,1,4.3
00838,Đam Rông,92,14,6,0,3.81
00839,Lâm Hà,166,12,15,0,8.87
00840,Di Linh,77,7,12,0,12.83
00841,Đà Lạt,219,13,14,1,5.81
00842,Di Linh,97,10,10,0,7.76
00843,Đạ Tẻh,248,9,14,0,8.81
00844,Đơn Dương,90,13,10,0,6.37
00845,Lạc Dương,63,12,6,1,8.27
00846,Bảo Lộc,64,12,10,1,6.41
00847,Đạ Huoai,107,13,8,0,5.86
00848,Lâm Hà,78,7,15,1,10.07
00849,Đơn Dương,195,14,9,1,13.75
00850,Đam Rông,75,12,10,0,7.03
00851,Đam Rông,118,6,7,0,11.56
00852,Bảo Lâm,161,12,9,0,4.53
00853,Đà Lạt,128,13,15,1,6.52
00854,Đơn Dương,131,7,6,0,1.02
00855,Di Linh,249,14,8,0,13.18
00856,Đạ Huoai,165,7,6,0,7.11
00857,Đam Rông,191,12,5,0,13.69
00858,Đức Trọng,195,15,15,0,14.56
00859,Đạ Huoai,62,8,10,1,2.41
00860,Đạ Tẻh,212,12,11,0,7.33
00861,Đam Rông,112,12,12,0,5.71
00862,Lâm Hà,135,5,14,1,10.01
00863,Bảo Lộc,93,5,11,0,4.48
00864,Cát Tiên,92,10,13,1,2.34
00865,Đạ Tẻh,231,13,14,1,13.97
00866,Lạc Dương,66,8,8,1,10.54
00867,Bảo Lộc,234,6,12,1,1.73
00868,Lâm Hà,166,9,12,1,12.34
00869,Đà Lạt,217,7,8,0,11.91
00870,Lạc Dương,112,5,9,1,2.68
00871,Bảo Lộc,165,5,13,0,6.76
00872,Bảo Lâm,210,8,6,1,2.25
00873,Đơn Dương,71,14,8,1,2.78
00874,Đạ Huoai,215,9,15,1,6.11
00875,Đức Trọng,101,7,13,1,9.64
00876,Đạ Tẻh,231,14,12,1,8.0
00877,Lạc Dương,166,10,14,1,2.22
00878,Lâm Hà,233,11,14,0,10.82
00879,Đạ Huoai,54,7,9,0,1.05
00880,Đơn Dương,176,9,10,0,3.82
00881,Di Linh,190,7,7,1,9.18
00882,Cát Tiên,59,12,11,1,5.26
00883,Bảo Lộc,77,12,8,0,8.39
00884,Lạc Dương,148,14,11,0,12.13
00885,Đơn Dương,69,11,13,1,6.67
00886,Cát Tiên,84,8,12,0,5.26
00887,Lạc Dương,167,9,9,1,7.17
00888,Di Linh,244,10,5,0,7.89
00889,Lạc Dương,148,6,10,1,5.37
00890,Đạ Huoai,122,12,7,1,10.3
00891,Bảo Lâm,148,7,6,0,8.49
00892,Lạc Dương,77,6,5,0,1.29
00893,Đà Lạt,55,10,13,1,3.28
00894,Bảo Lộc,244,5,5,1,8.11
00895,Lạc Dương,80,14,11,1,6.57
00896,Đà Lạt,63,7,6,0,4.46
00897,Đạ Tẻh,156,13,8,0,10.52
00898,Cát Tiên,70,12,6,1,1.19
00899,Lạc Dương,159,13,12,0,0.83
00900,Đam Rông,51,10,6,1,7.24
00901,Lâm Hà,90,6,7,0,11.28
00902,Đạ Tẻh,105,12,15,0,2.93
00903,Lâm Hà,78,14,15,1,12.12
00904,Cát Tiên,216,9,12,1,2.52
00905,Đạ Tẻh,102,11,14,1,5.08
00906,Lạc Dương,190,7,5,1,2.71
00907,Đơn Dương,65,13,6,0,13.05
00908,Lâm Hà,210,7,9,1,11.22
00909,Đạ Tẻh,94,12,10,1,10.54
00910,Bảo Lộc,86,9,11,0,7.56
00911,Đam Rông,212,8,11,0,6.26
00912,Bảo Lâm,143,10,7,1,2.18
00913,Đạ Huoai,210,12,9,0,2.42
00914,Cát Tiên,178,12,13,0,14.02
00915,Lâm Hà,85,12,12,1,10.4
00916,Đà Lạt,238,14,7,1,3.18
00917,Đơn Dương,232,10,14,0,6.65
00918,Đơn Dương,178,12,5,1,9.89
00919,Đạ Tẻh,74,6,10,1,7.48
00920,Cát Tiên,53,10,7,1,7.11
00921,Lâm Hà,225,5,12,1,4.76
00922,Bảo Lộc,91,10,12,0,14.72
00923,Di Linh,111,7,7,0,4.87
00924,Di Linh,114,10,9,1,5.07
00925,Bảo Lâm,65,6,15,0,2.84
00926,Đam Rông,244,6,6,1,1.12
00927,Đạ Huoai,65,12,7,1,4.64
00928,Di Linh,152,9,15,1,13.46
00929,Lạc Dương,76,13,9,1,9.08
00930,Cát Tiên,50,8,15,0,14.37
00931,Bảo Lâm,140,15,10,1,7.89
00932,Cát Tiên,196,5,11,1,9.84
00933,Đam Rông,217,6,6,0,3.09
00934,Lâm Hà,153,11,5,1,4.68
00935,Lạc Dương,135,15,12,1,6.0
00936,Đơn Dương,79,14,13,0,7.8
00937,Lâm Hà,191,13,5,1,10.58
00938,Lâm Hà,91,5,9,0,9.92
00939,Bảo Lâm,176,10,6,0,4.24
00940,Bảo Lộc,229,12,9,1,9.04
00941,Bảo Lâm,119,9,14,0,1.32
00942,Lạc Dương,200,9,13,0,11.16
00943,Bảo Lâm,101,10,5,1,6.15
00944,Đà Lạt,56,8,12,0,7.98
00945,Đà Lạt,117,14,5,0,4.57
00946,Đức Trọng,247,6,15,0,7.5
00947,Di Linh,149,15,6,0,7.85
00948,Bảo Lâm,183,6,7,1,5.86
00949,Đơn Dương,232,9,6,0,7.96
00950,Đam Rông,197,12,12,0,9.34
00951,Đạ Tẻh,123,9,11,0,8.16
00952,Di Linh,244,12,12,1,1.19
00953,Đơn Dương,92,12,13,0,8.05
00954,Bảo Lộc,163,11,9,0,4.38
00955,Cát Tiên,215,11,10,0,4.45
00956,Lâm Hà,137,5,9,0,11.12
00957,Cát Tiên,70,11,5,1,6.5
00958,Bảo Lộc,205,14,6,1,12.97
00959,Bảo Lộc,127,11,6,1,12.78
00960,Đà Lạt,183,14,11,0,11.75
00961,Cát Tiên,116,10,9,1,2.62
00962,Đam Rông,224,9,5,1,4.95
00963,Cát Tiên,244,11,5,1,5.64
00964,Di Linh,53,5,12,0,2.51
00965,Bảo Lộc,74,13,13,1,11.82
00966,Bảo Lộc,152,14,10,0,5.84
00967,Lâm Hà,89,13,6,1,5.28
00968,Đà Lạt,205,7,11,1,13.86
00969,Đơn Dương,220,9,10,0,14.48
00970,Lạc Dương,177,9,6,1,6.66
00971,Bảo Lộc,157,15,9,0,4.83
00972,Lạc Dương,110,11,8,0,1.44
00973,Bảo Lộc,194,13,6,1,6.54
00974,Bảo Lộc,97,13,11,0,5.42
00975,Cát Tiên,98,10,6,1,10.38
00976,Đơn Dương,216,10,7,1,12.87
00977,Đức Trọng,109,14,8,0,1.7
00978,Đơn Dương,146,8,5,1,3.06
00979,Đạ Tẻh,123,10,12,1,12.81
00980,Di Linh,130,12,13,0,3.02
00981,Đam Rông,204,11,9,1,12.01
00982,Cát Tiên,131,6,11,1,8.89
00983,Đam Rông,88,15,12,1,7.43
00984,Đà Lạt,117,13,8,1,8.85
00985,Lâm Hà,249,11,8,1,11.8
00986,Đà Lạt,187,10,14,0,1.29
00987,Đam Rông,227,15,10,0,12.04
00988,Lạc Dương,149,14,5,1,7.25
00989,Di Linh,101,13,13,0,3.14
00990,Đà Lạt,86,15,14,0,7.35
00991,Đạ Tẻh,128,7,12,0,8.47
00992,Di Linh,103,10,8,0,8.23
00993,Đức Trọng,172,14,6,1,10.25
00994,Đà Lạt,90,12,10,0,8.05
00995,Bảo Lâm,71,10,8,0,13.52
00996,Di Linh,129,12,10,1,0.92
00997,Lâm Hà,161,8,5,0,4.46
00998,Đạ Huoai,107,6,6,1,8.24
00999,Bảo Lâm,82,11,9,0,2.61
01000,Bảo Lộc,133,9,7,0,12.6
01001,Đơn Dương,187,11,14,1,12.71
01002,Lạc Dương,78,10,8,1,11.23
01003,Lâm Hà,241,9,7,1,8.46
01004,Bảo Lộc,132,6,9,0,8.65
01005,Lạc Dương,122,10,11,0,10.62
01006,Đức Trọng,170,11,7,0,11.67
01007,Đam Rông,167,7,9,0,5.78
01008,Cát Tiên,238,5,7,1,2.36
01009,Lạc Dương,208,5,13,1,11.11
01010,Cát Tiên,149,15,8,1,12.9
01011,Đam Rông,214,6,6,1,3.01
01012,Lâm Hà,56,6,9,0,5.57
01013,Lạc Dương,120,9,11,1,14.19
01014,Đạ Huoai,51,13,6,1,3.42
01015,Đạ Tẻh,74,11,5,1,10.55
01016,Di Linh,59,15,13,0,3.61
01017,Đạ Huoai,246,7,15,1,6.23
01018,Đức Trọng,173,8,6,0,7.68
01019,Đơn Dương,124,5,10,1,4.22
01020,Di Linh,133,14,5,0,13.72
01021,Di Linh,146,5,15,0,7.63
01022,Đam Rông,117,9,10,1,11.56
01023,Đam Rông,153,9,12,0,8.02
01024,Di Linh,237,6,6,1,14.58
01025,Bảo Lộc,64,13,13,1,4.2
01026,Lâm Hà,169,6,8,0,7.93
01027,Bảo Lộc,50,13,9,0,11.59
01028,Lâm Hà,56,8,7,1,9.35
01029,Đạ Tẻh,59,14,15,1,10.97
01030,Đơn Dương,124,6,9,0,6.2
01031,Đức Trọng,80,8,7,1,11.84
01032,Bảo Lâm,195,14,15,0,14.19
01033,Di Linh,118,11,8,1,4.61
01034,Cát Tiên,164,6,13,1,11.93
01035,Bảo Lộc,193,13,9,0,14.73
01036,Lâm Hà,228,11,8,0,7.7
01037,Đạ Huoai,107,8,9,1,12.16
01038,Đơn Dương,62,6,7,0,3.73
01039,Đức Trọng,125,13,9,1,10.0
01040,Di Linh,167,10,9,0,13.75
01041,Lâm Hà,158,11,8,1,1.07
01042,Đơn Dương,157,5,7,0,11.85
01043,Đơn Dương,125,8,15,1,10.99
01044,Đơn Dương,136,11,9,0,12.46
01045,Đạ Huoai,218,7,8,1,4.3
01046,Đam Rông,149,12,14,1,7.45
01047,Đơn Dương,204,10,6,1,7.61
01048,Bảo Lộc,105,5,12,0,13.61
01049,Đức Trọng,164,7,7,1,12.56
01050,Di Linh,196,9,11,0,4.18
01051,Đơn Dương,201,7,8,0,13.52
01052,Đơn Dương,185,12,6,0,3.4
01053,Lâm Hà,110,7,8,0,4.7
01054,Đà Lạt,115,6,5,1,14.79
01055,Di Linh,232,13,10,0,11.89
01056,Cát Tiên,153,9,8,0,7.49
01057,Đam Rông,61,13,8,0,2.31
01058,Đạ Tẻh,198,8,13,1,3.21
01059,Đạ Huoai,141,15,14,1,13.1
01060,Đà Lạt,166,7,15,1,1.86
01061,Lâm Hà,218,8,12,0,6.44
01062,Đam Rông,117,10,9,0,6.5
01063,Lâm Hà,184,6,6,1,1.55
01064,Cát Tiên,141,15,6,0,4.01
01065,Đức Trọng,60,6,13,1,12.63
01066,Đơn Dương,117,14,5,0,9.27
01067,Đam Rông,68,11,9,1,11.24
01068,Đà Lạt,161,10,12,0,0.89
01069,Đam Rông,109,9,10,1,14.17
01070,Bảo Lộc,112,10,11,1,14.81
01071,Đạ Huoai,215,7,5,0,9.68
01072,Đơn Dương,131,8,7,0,14.17
01073,Đà Lạt,225,14,15,1,4.74
01074,Đạ Tẻh,197,11,11,1,14.55
01075,Cát Tiên,238,12,9,1,9.67
01076,Đà Lạt,187,6,9,1,8.87
01077,Bảo Lộc,200,7,14,1,5.68
01078,Bảo Lộc,142,11,15,0,3.26
01079,Đà Lạt,124,11,13,0,1.34
01080,Đà Lạt,136,12,6,1,3.69
01081,Di Linh,57,9,7,0,3.64
01082,Đạ Huoai,115,13,9,1,6.04
01083,Lạc Dương,82,10,8,1,8.27
01084,Bảo Lộc,98,6,13,0,14.43
01085,Đơn Dương,230,5,13,0,7.5
01086,Di Linh,124,8,13,0,4.46
01087,Đơn Dương,202,6,7,1,14.06
01088,Lạc Dương,229,5,11,0,7.95
01089,Di Linh,229,11,14,0,1.86
01090,Bảo Lộc,181,10,5,1,7.09
01091,Đạ Huoai,107,11,14,0,6.31
01092,Đức Trọng,153,11,8,0,9.45
01093,Cát Tiên,212,12,8,1,11.15
01094,Đà Lạt,169,5,13,0,5.33
01095,Lạc Dương,194,10,10,1,9.17
01096,Bảo Lộc,204,10,6,1,5.79
01097,Bảo Lâm,247,13,13,0,1.38
01098,Cát Tiên,107,11,13,1,3.83
01099,Đức Trọng,240,15,13,0,9.41
01100,Đạ Tẻh,220,15,11,1,8.86
01101,Bảo Lộc,131,5,6,0,6.59
01102,Đà Lạt,239,15,9,0,12.79
01103,Di Linh,188,8,14,0,11.09
01104,Lạc Dương,205,5,13,1,13.81
01105,Đà Lạt,60,14,9,1,3.0
01106,Đạ Tẻh,134,13,10,1,12.65
01107,Bảo Lâm,250,13,9,1,1.61
01108,Đà Lạt,196,10,12,0,5.5
01109,Đà Lạt,232,13,10,0,7.19
01110,Đam Rông,238,11,5,0,2.57
01111,Đà Lạt,142,11,6,1,6.98
01112,Đà Lạt,130,6,5,0,13.15
01113,Đạ Huoai,186,7,12,0,1.28
01114,Bảo Lộc,174,8,9,0,7.18
01115,Đạ Tẻh,141,7,14,0,7.15
01116,Lâm Hà,200,15,8,1,11.62
01117,Đạ Huoai,236,14,7,0,4.86
01118,Bảo Lâm,210,8,6,1,2.6
01119,Đơn Dương,56,12,9,1,5.65
01120,Đà Lạt,61,11,12,0,10.95
01121,Đức Trọng,50,9,12,0,5.48
01122,Đà Lạt,172,5,6,0,13.82
01123,Bảo Lâm,209,14,14,1,3.89
01124,Đam Rông,150,8,9,0,5.92
01125,Cát Tiên,128,14,9,0,9.68
01126,Bảo Lộc,83,5,15,1,10.75
01127,Cát Tiên,140,8,15,0,4.2
01128,Đạ Huoai,148,10,15,0,8.94
01129,Lạc Dương,97,9,5,0,4.0
01130,Cát Tiên,98,6,9,1,8.01
01131,Đạ Huoai,127,13,12,0,11.38
01132,Đơn Dương,68,12,13,0,10.72
01133,Lạc Dương,99,9,11,0,11.64
01134,Bảo Lâm,168,5,12,1,14.43
01135,Bảo Lộc,199,11,14,0,1.92
01136,Lâm Hà,73,13,6,1,10.91
01137,Bảo Lộc,146,6,15,0,12.52
01138,Đạ Tẻh,196,9,8,1,5.15
01139,Cát Tiên,201,8,7,0,3.46
01140,Lạc Dương,148,14,11,0,5.0
01141,Đạ Huoai,124,12,13,0,10.45
01142,Đạ Tẻh,158,9,8,1,6.29
01143,Đơn Dương,115,13,11,1,3.66
01144,Đơn Dương,73,13,14,1,11.58
01145,Đạ Tẻh,225,8,10,1,6.37
01146,Đơn Dương,74,14,10,0,14.96
01147,Đà Lạt,213,6,10,0,7.19
01148,Đà Lạt,145,8,11,1,7.65
01149,Bảo Lâm,175,11,8,1,5.14
01150,Bảo Lâm,122,5,6,0,8.32
01151,Đức Trọng,207,9,6,1,10.04
01152,Đạ Tẻh,108,10,12,0,2.46
01153,Lạc Dương,171,8,9,1,3.26
01154,Đam Rông,111,12,14,1,11.05
01155,Cát Tiên,222,8,14,1,10.16
01156,Cát Tiên,53,15,14,0,3.23
01157,Cát Tiên,162,10,15,0,6.18
01158,Bảo Lâm,61,15,6,1,4.43
01159,Đơn Dương,211,8,13,0,11.07
01160,Đạ Tẻh,109,12,6,0,12.95
01161,Đà Lạt,147,10,6,0,14.22
01162,Cát Tiên,98,10,8,1,11.73
01163,Lạc Dương,132,8,9,1,2.65
01164,Di Linh,84,7,15,1,6.85
01165,Đạ Huoai,250,8,11,0,3.54
01166,Lâm Hà,63,14,9,0,7.96
01167,Bảo Lộc,218,10,9,1,4.39
01168,Di Linh,141,5,12,0,1.42
01169,Đơn Dương,218,10,7,1,13.11
01170,Đơn Dương,53,5,9,1,4.96
01171,Bảo Lộc,180,15,6,0,4.46
01172,Lạc Dương,207,15,5,0,12.7
01173,Cát Tiên,91,11,9,0,4.18
01174,Đạ Huoai,231,13,7,0,3.64
01175,Đơn Dương,228,11,7,1,1.44
01176,Đà Lạt,225,15,5,0,5.82
01177,Đạ Tẻh,54,10,12,1,7.46
01178,Đức Trọng,115,11,15,1,14.2
01179,Bảo Lộc,51,11,7,0,2.92
01180,Đức Trọng,76,5,7,0,12.59
01181,Di Linh,78,10,12,1,6.48
01182,Di Linh,201,12,8,0,14.77
01183,Đạ Huoai,225,15,15,0,13.82
01184,Cát Tiên,219,7,7,0,13.86
01185,Bảo Lâm,159,12,5,0,12.33
01186,Đam Rông,163,14,10,0,6.37
01187,Đà Lạt,92,13,6,1,11.05
01188,Đạ Tẻh,176,15,6,1,3.03
01189,Đạ Tẻh,73,12,8,1,9.87
01190,Di Linh,82,12,8,0,10.39
01191,Đam Rông,219,14,5,1,13.46
01192,Đức Trọng,177,7,7,1,9.58
01193,Di Linh,168,10,6,1,11.11
01194,Đam Rông,124,14,10,1,6.74
01195,Di Linh,154,8,14,1,3.08
01196,Bảo Lộc,159,14,10,1,7.43
01197,Lạc Dương,247,8,14,1,10.26
01198,Đức Trọng,174,8,11,1,0.98
01199,Đạ Huoai,201,7,15,1,3.53
01200,Đam Rông,246,13,7,0,14.97
01201,Di Linh,237,6,15,1,4.3
01202,Đà Lạt,218,6,15,1,9.07
